_id,name,email,phone,gender,birth_date,province,district,address,registered_at,segment,lifetime_value,total_orders,last_order_date
CUST0001,Nguyễn Thế Anh,nguyễn.thế.anh1996@outlook.com,0226433764,Nam,1996-06-28,Hồ Chí Minh,Thủ Đức,"Số 32, Ngõ Cách mạng tháng 8",2026-01-07T21:01:31Z,VIP,31149734,19,2026-06-30
CUST0002,Trần Thu Trang,trần.thu.trang2001@yahoo.com,0216818071,Nữ,2001-06-28,Quảng Ninh,Móng Cái,"Số 27, Ngõ Hùng Vương",2025-12-01T23:42:32Z,Bạc,13545092,7,2026-06-29
CUST0003,Ngô Ngọc Linh,ngô.ngọc.linh2000@yahoo.com,0832608088,Nữ,2000-12-02,Quảng Ninh,Hạ Long,"Số 81, Phố Trần Hưng Đạo",2025-11-10T23:44:49Z,Bạc,3952319,2,2026-05-20
CUST0004,Dương Minh Hoa,dương.minh.hoa2002@outlook.com,0120891829,Nữ,2002-07-20,Đà Nẵng,Ngũ Hành Sơn,"Số 74, Ngõ Hùng Vương",2026-02-23T21:26:18Z,Vàng,15416500,8,2026-06-22
CUST0005,Đỗ Thu Lan,đỗ.thu.lan1999@yahoo.com,0350000714,Nữ,1999-03-07,Hải Phòng,Lê Chân,"Số 198, Đường Nguyễn Trãi",2026-03-08T00:44:28Z,Thường,7342937,4,2026-06-22
CUST0006,Bùi Thế Hoa,bùi.thế.hoa2004@email.com,0632636890,Nam,2004-02-11,Đà Nẵng,Ngũ Hành Sơn,"Số 146, Phố Cách mạng tháng 8",2025-12-22T02:51:55Z,VIP,27775284,14,2026-06-26
CUST0007,Vũ Ngọc Hoa,vũ.ngọc.hoa1994@email.com,0485684204,Nữ,1994-08-14,Hải Dương,Nam Sách,"Số 185, Đường Cách mạng tháng 8",2025-11-10T20:15:02Z,Thường,4517744,2,2026-04-10
CUST0008,Hoàng Minh Mai,hoàng.minh.mai2003@outlook.com,0959818358,Nam,2003-04-25,Quảng Ninh,Móng Cái,"Số 93, Đường Cách mạng tháng 8",2025-12-01T11:47:05Z,Thường,3770809,2,2026-05-15
CUST0009,Đặng Văn Thảo,đặng.văn.thảo1995@outlook.com,0695465339,Nam,1995-04-17,Cần Thơ,Phong Điền,"Số 34, Ngõ Lê Lợi",2026-01-14T20:10:20Z,Bạc,5932646,4,2026-06-07
CUST0010,Trần Minh Anh,trần.minh.anh1997@yahoo.com,0173674504,Nam,1997-08-24,Hải Phòng,Kiến An,"Số 6, Ngõ Nguyễn Trãi",2026-03-24T17:33:10Z,Vàng,12006301,7,2026-06-21
CUST0011,Đặng Phương Thảo,đặng.phương.thảo1998@yahoo.com,0798579167,Nữ,1998-06-14,Hải Phòng,Ngô Quyền,"Số 84, Đường Hùng Vương",2026-01-29T09:43:11Z,Bạc,18547423,7,2026-06-22
CUST0012,Dương Quang Hùng,dương.quang.hùng1998@email.com,0726441085,Nam,1998-08-03,Quảng Ninh,Cẩm Phả,"Số 11, Phố Nguyễn Trãi",2026-03-24T22:34:57Z,VIP,43420171,23,2026-06-30
CUST0013,Nguyễn Hữu Hùng,nguyễn.hữu.hùng2006@yahoo.com,0448086967,Nam,2006-05-01,Đà Nẵng,Liên Chiểu,"Số 145, Đường Trần Hưng Đạo",2026-03-26T18:09:48Z,Bạc,9495890,5,2026-06-07
CUST0014,Dương Gia Vân,dương.gia.vân2004@gmail.com,0328067221,Nam,2004-06-22,Hải Phòng,Đồ Sơn,"Số 167, Ngõ Lê Lợi",2026-02-09T16:40:03Z,Thường,5250261,3,2026-04-23
CUST0015,Vũ Thùy Thảo,vũ.thùy.thảo1992@email.com,0732533252,Nữ,1992-03-17,Hà Nội,Cầu Giấy,"Số 56, Ngõ Trần Hưng Đạo",2025-12-06T01:44:50Z,Bạc,8350054,5,2026-06-25
CUST0016,Hoàng Phương Vân,hoàng.phương.vân1998@email.com,0636411897,Nữ,1998-09-17,Hải Dương,Thanh Hà,"Số 72, Phố Lê Lợi",2025-12-23T22:21:43Z,VIP,32506975,15,2026-06-29
CUST0017,Trần Thị Nam,trần.thị.nam2000@yahoo.com,0174489708,Nữ,2000-10-28,Hà Nội,Đống Đa,"Số 38, Ngõ Nguyễn Trãi",2026-03-22T07:35:52Z,VIP,29538531,15,2026-06-26
CUST0018,Vũ Hữu Linh,vũ.hữu.linh2001@outlook.com,0626373079,Nam,2001-03-12,Hải Phòng,Đồ Sơn,"Số 183, Phố Hùng Vương",2026-01-17T15:54:36Z,Thường,5517817,3,2026-06-09
